Date,New Cases
2020-01-26,1
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,2
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,2
2020-02-26,0
2020-02-27,2
2020-02-28,1
2020-02-29,6
2020-03-01,5
2020-03-02,6
2020-03-03,5
2020-03-04,5
2020-03-05,4
2020-03-06,14
2020-03-07,4
2020-03-08,10
2020-03-09,14
2020-03-10,4
2020-03-11,35
2020-03-12,14
2020-03-13,72
2020-03-14,23
2020-03-15,60
2020-03-16,154
2020-03-17,82
2020-03-18,200
2020-03-19,189
2020-03-20,254
2020-03-21,478
2020-03-22,392
2020-03-23,555
2020-03-24,585
2020-03-25,498
2020-03-26,867
2020-03-27,699
2020-03-28,836
2020-03-29,930
2020-03-30,1106
2020-03-31,1125
2020-04-01,1281
2020-04-02,1692
2020-04-03,1340
2020-04-04,1347
2020-04-05,1569
2020-04-06,1046
2020-04-07,1337
2020-04-08,1264
2020-04-09,1380
2020-04-10,1275
2020-04-11,1307
2020-04-12,1219
2020-04-13,1634
2020-04-14,1626
2020-04-15,1660
2020-04-16,2567
2020-04-17,2086
2020-04-18,1482
2020-04-19,1668
2020-04-20,1565
2020-04-21,1743
2020-04-22,2307
2020-04-23,1669
2020-04-24,1697
2020-04-25,1563
2020-04-26,1432
2020-04-27,1619
2020-04-28,1676
2020-04-29,1764
2020-04-30,1655
2020-05-01,1833
2020-05-02,1474
2020-05-03,1160
2020-05-04,1560
2020-05-05,1357
2020-05-06,1603
2020-05-07,1443
2020-05-08,1339
2020-05-09,1160
2020-05-10,1091
2020-05-11,1150
2020-05-12,1197
2020-05-13,1224
2020-05-14,1121
2020-05-15,1263
2020-05-16,1180
2020-05-17,1121
2020-05-18,1041
2020-05-19,1150
2020-05-20,1305
2020-05-21,1162
2020-05-22,1164
2020-05-23,1009
2020-05-24,926
2020-05-25,948
2020-05-26,805
2020-05-27,878
2020-05-28,839
2020-05-29,835
2020-05-30,751
2020-05-31,683
2020-06-01,842
2020-06-02,661
2020-06-03,667
2020-06-04,625
2020-06-05,666
2020-06-06,548
2020-06-07,667
2020-06-08,521
2020-06-09,489
2020-06-10,495
2020-06-11,449
2020-06-12,430
2020-06-13,411
2020-06-14,327
2020-06-15,369
2020-06-16,366
2020-06-17,408
2020-06-18,401
2020-06-19,403
2020-06-20,419
2020-06-21,305
2020-06-22,356
2020-06-23,394
2020-06-24,356
2020-06-25,324
2020-06-26,251
2020-06-27,337
2020-06-28,373
2020-06-29,384
2020-06-30,297
2020-07-01,198
2020-07-02,356
2020-07-03,320
2020-07-04,213
2020-07-05,187
2020-07-06,415
2020-07-07,255
2020-07-08,329
2020-07-09,315
2020-07-10,340
2020-07-11,176
2020-07-12,159
2020-07-13,673
2020-07-14,387
2020-07-15,361
2020-07-16,447
2020-07-17,470
2020-07-18,346
2020-07-19,255
2020-07-20,751
2020-07-21,505
2020-07-22,349
2020-07-23,658
2020-07-24,714
2020-07-25,346
2020-07-26,297
2020-07-27,626
2020-07-28,361
2020-07-29,487
2020-07-30,415
2020-07-31,557
2020-08-01,226
2020-08-02,196
2020-08-03,226
2020-08-04,713
2020-08-05,344
2020-08-06,313
2020-08-07,536
2020-08-08,233
2020-08-09,212
2020-08-10,630
2020-08-11,345
2020-08-12,309
2020-08-13,471
2020-08-14,413
