ISO Country Code,Date,New Cases
CAN,2020-01-26,1
CAN,2020-01-27,0
CAN,2020-01-28,1
CAN,2020-01-29,0
CAN,2020-01-30,0
CAN,2020-01-31,2
CAN,2020-02-01,0
CAN,2020-02-02,0
CAN,2020-02-03,0
CAN,2020-02-04,0
CAN,2020-02-05,1
CAN,2020-02-06,0
CAN,2020-02-07,2
CAN,2020-02-08,0
CAN,2020-02-09,0
CAN,2020-02-10,0
CAN,2020-02-11,0
CAN,2020-02-12,0
CAN,2020-02-13,0
CAN,2020-02-14,0
CAN,2020-02-15,0
CAN,2020-02-16,0
CAN,2020-02-17,1
CAN,2020-02-18,0
CAN,2020-02-19,0
CAN,2020-02-20,0
CAN,2020-02-21,1
CAN,2020-02-22,0
CAN,2020-02-23,0
CAN,2020-02-24,1
CAN,2020-02-25,2
CAN,2020-02-26,0
CAN,2020-02-27,2
CAN,2020-02-28,1
CAN,2020-02-29,6
CAN,2020-03-01,5
CAN,2020-03-02,6
CAN,2020-03-03,5
CAN,2020-03-04,5
CAN,2020-03-05,4
CAN,2020-03-06,14
CAN,2020-03-07,4
CAN,2020-03-08,10
CAN,2020-03-09,14
CAN,2020-03-10,4
CAN,2020-03-11,35
CAN,2020-03-12,14
CAN,2020-03-13,72
CAN,2020-03-14,23
CAN,2020-03-15,60
CAN,2020-03-16,154
CAN,2020-03-17,82
CAN,2020-03-18,200
CAN,2020-03-19,189
CAN,2020-03-20,254
CAN,2020-03-21,478
CAN,2020-03-22,392
CAN,2020-03-23,555
CAN,2020-03-24,585
CAN,2020-03-25,498
CAN,2020-03-26,867
CAN,2020-03-27,699
CAN,2020-03-28,836
CAN,2020-03-29,930
CAN,2020-03-30,1106
CAN,2020-03-31,1125
CAN,2020-04-01,1281
CAN,2020-04-02,1692
CAN,2020-04-03,1340
CAN,2020-04-04,1347
CAN,2020-04-05,1569
CAN,2020-04-06,1046
CAN,2020-04-07,1337
CAN,2020-04-08,1264
CAN,2020-04-09,1380
CAN,2020-04-10,1275
CAN,2020-04-11,1307
CAN,2020-04-12,1219
CAN,2020-04-13,1634
CAN,2020-04-14,1626
CAN,2020-04-15,1660
CAN,2020-04-16,2567
CAN,2020-04-17,2086
CAN,2020-04-18,1482
CAN,2020-04-19,1668
CAN,2020-04-20,1565
CAN,2020-04-21,1743
CAN,2020-04-22,2307
CAN,2020-04-23,1669
CAN,2020-04-24,1697
CAN,2020-04-25,1563
CAN,2020-04-26,1432
CAN,2020-04-27,1619
CAN,2020-04-28,1676
CAN,2020-04-29,1764
CAN,2020-04-30,1655
CAN,2020-05-01,1833
CAN,2020-05-02,1474
CAN,2020-05-03,1160
CAN,2020-05-04,1560
CAN,2020-05-05,1357
CAN,2020-05-06,1603
CAN,2020-05-07,1443
CAN,2020-05-08,1339
CAN,2020-05-09,1160
CAN,2020-05-10,1091
CAN,2020-05-11,1150
CAN,2020-05-12,1197
CAN,2020-05-13,1224
CAN,2020-05-14,1121
CAN,2020-05-15,1263
CAN,2020-05-16,1180
CAN,2020-05-17,1121
CAN,2020-05-18,1041
CAN,2020-05-19,1150
CAN,2020-05-20,1305
CAN,2020-05-21,1162
CAN,2020-05-22,1164
CAN,2020-05-23,1009
CAN,2020-05-24,926
CAN,2020-05-25,948
CAN,2020-05-26,805
CAN,2020-05-27,878
CAN,2020-05-28,839
CAN,2020-05-29,835
CAN,2020-05-30,751
CAN,2020-05-31,683
CAN,2020-06-01,842
CAN,2020-06-02,661
CAN,2020-06-03,667
CAN,2020-06-04,625
CAN,2020-06-05,666
CAN,2020-06-06,548
CAN,2020-06-07,667
CAN,2020-06-08,521
CAN,2020-06-09,489
CAN,2020-06-10,495
CAN,2020-06-11,449
CAN,2020-06-12,430
CAN,2020-06-13,411
CAN,2020-06-14,327
CAN,2020-06-15,369
CAN,2020-06-16,366
CAN,2020-06-17,408
CAN,2020-06-18,401
CAN,2020-06-19,403
CAN,2020-06-20,419
CAN,2020-06-21,305
CAN,2020-06-22,356
CAN,2020-06-23,394
CAN,2020-06-24,356
CAN,2020-06-25,324
CAN,2020-06-26,251
CAN,2020-06-27,337
CAN,2020-06-28,373
