Date,New Cases
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,3
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,3
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,8
2020-03-01,7
2020-03-02,23
2020-03-03,19
2020-03-04,33
2020-03-05,77
2020-03-06,53
2020-03-07,166
2020-03-08,116
2020-03-09,75
2020-03-10,188
2020-03-11,365
2020-03-12,439
2020-03-13,633
2020-03-14,759
2020-03-15,234
2020-03-16,1467
2020-03-17,1833
2020-03-18,2657
2020-03-19,4494
2020-03-20,6367
2020-03-21,5995
2020-03-22,8919
2020-03-23,11152
2020-03-24,10618
2020-03-25,12127
2020-03-26,17821
2020-03-27,18591
2020-03-28,22164
2020-03-29,16127
2020-03-30,22154
2020-03-31,26381
2020-04-01,32318
2020-04-02,32346
2020-04-03,32396
2020-04-04,32337
2020-04-05,29354
2020-04-06,31894
2020-04-07,30548
2020-04-08,31145
2020-04-09,36094
2020-04-10,34244
2020-04-11,29191
2020-04-12,26909
2020-04-13,26991
2020-04-14,28454
2020-04-15,25961
2020-04-16,30256
2020-04-17,33000
2020-04-18,27917
2020-04-19,25872
2020-04-20,29790
2020-04-21,26270
2020-04-22,28962
2020-04-23,33253
2020-04-24,32339
2020-04-25,30378
2020-04-26,26673
2020-04-27,23793
2020-04-28,24763
2020-04-29,26258
2020-04-30,29289
2020-05-01,34917
2020-05-02,27388
2020-05-03,24198
2020-05-04,24331
2020-05-05,24495
2020-05-06,24240
2020-05-07,27729
2020-05-08,27257
2020-05-09,24581
2020-05-10,19050
2020-05-11,18989
2020-05-12,22887
2020-05-13,20633
2020-05-14,26619
2020-05-15,24829
2020-05-16,24153
2020-05-17,18639
2020-05-18,22324
2020-05-19,20809
2020-05-20,22795
2020-05-21,25962
2020-05-22,23603
2020-05-23,21001
2020-05-24,20448
2020-05-25,18443
2020-05-26,18973
2020-05-27,19490
2020-05-28,21622
2020-05-29,24788
2020-05-30,24073
2020-05-31,19334
2020-06-01,17078
2020-06-02,21316
2020-06-03,19784
2020-06-04,21753
2020-06-05,25010
2020-06-06,21234
2020-06-07,18399
2020-06-08,16567
2020-06-09,18118
2020-06-10,21086
2020-06-11,22402
2020-06-12,25282
2020-06-13,24994
2020-06-14,19331
2020-06-15,18583
2020-06-16,23901
2020-06-17,27340
2020-06-18,28277
2020-06-19,31685
2020-06-20,32534
2020-06-21,26067
2020-06-22,31156
2020-06-23,37266
2020-06-24,36212
2020-06-25,40260
2020-06-26,46318
2020-06-27,41696
2020-06-28,41796
2020-06-29,39703
2020-06-30,48368
2020-07-01,51566
2020-07-02,56370
2020-07-03,52618
2020-07-04,48823
2020-07-05,50336
2020-07-06,43008
2020-07-07,58854
2020-07-08,59645
2020-07-09,60953
2020-07-10,67798
2020-07-11,61259
2020-07-12,60585
2020-07-13,57726
2020-07-14,66472
2020-07-15,67940
2020-07-16,76044
2020-07-17,72177
2020-07-18,63705
2020-07-19,61255
2020-07-20,60500
2020-07-21,65546
2020-07-22,70377
2020-07-23,68232
2020-07-24,74136
2020-07-25,66751
2020-07-26,56006
2020-07-27,56577
2020-07-28,63636
2020-07-29,68462
2020-07-30,67920
2020-07-31,68436
2020-08-01,58935
2020-08-02,45933
2020-08-03,45535
2020-08-04,54935
