Date,Open,High,Low,Close
2019-12-31,1013.93,1016.11,1012.07,1014.92
2020-01-02,1018.98,1021.06,1014.88,1018.24
2020-01-03,1014.73,1017.75,1013.14,1015.65
2020-01-06,1013.55,1018.26,1013.55,1018.26
2020-01-07,1019.30,1022.79,1018.76,1021.30
2020-01-08,1021.74,1026.72,1021.74,1022.96
2020-01-09,1025.65,1028.27,1025.21,1026.72
2020-01-10,1025.57,1027.30,1023.13,1025.66
2020-01-13,1025.95,1030.59,1023.90,1030.12
2020-01-14,1029.79,1033.95,1029.37,1033.48
2020-01-15,1034.28,1037.57,1032.80,1037.11
2020-01-16,1038.89,1041.75,1038.39,1041.37
2020-01-17,1042.66,1046.65,1042.37,1046.06
2020-01-20,1045.17,1049.88,1044.46,1048.50
2020-01-21,1046.07,1048.38,1045.38,1047.14
2020-01-22,1047.10,1053.75,1046.05,1049.41
2020-01-23,1047.80,1051.69,1046.40,1051.69
2020-01-24,1051.96,1053.07,1044.84,1047.97
2020-01-27,1036.95,1042.84,1035.52,1041.19
2020-01-28,1043.36,1046.30,1041.78,1045.14
2020-01-29,1047.93,1048.58,1044.70,1044.82
2020-01-30,1039.54,1045.28,1037.45,1044.44
2020-01-31,1041.18,1041.72,1030.05,1032.97
2020-02-03,1035.47,1040.82,1035.47,1036.00
2020-02-04,1044.46,1047.57,1043.55,1045.18
2020-02-05,1052.31,1053.83,1049.17,1052.46
2020-02-06,1054.54,1058.65,1053.06,1058.65
2020-02-07,1055.47,1056.46,1051.57,1053.03
2020-02-10,1052.59,1059.09,1052.59,1058.92
2020-02-11,1061.31,1063.29,1060.12,1060.47
2020-02-12,1067.31,1067.34,1063.79,1064.59
2020-02-13,1059.96,1064.21,1058.99,1063.57
2020-02-14,1062.47,1064.88,1061.95,1064.88
2020-02-18,1062.75,1065.67,1061.61,1064.28
2020-02-19,1065.98,1069.04,1063.80,1068.28
2020-02-20,1067.31,1070.48,1063.58,1069.29
2020-02-21,1068.72,1069.85,1061.45,1062.86
2020-02-24,1046.85,1048.39,1039.67,1046.04
2020-02-25,1046.34,1047.80,1020.10,1023.72
2020-02-26,1022.54,1031.66,1015.54,1016.17
2020-02-27,1002.32,1003.57,982.18,997.73
2020-02-28,966.68,973.07,949.97,972.15
2020-03-02,975.89,989.81,965.69,988.97
2020-03-03,996.11,1002.15,977.47,979.43
2020-03-04,993.97,1001.16,986.20,1001.16
2020-03-05,985.95,995.69,981.49,987.40
2020-03-06,966.89,970.50,955.83,965.55
2020-03-09,908.30,910.30,862.24,863.33
2020-03-10,894.80,896.70,863.33,893.62
2020-03-11,873.31,878.15,849.37,854.67
2020-03-12,814.90,814.90,744.14,747.75
2020-03-13,789.28,828.77,756.91,828.77
2020-03-16,761.55,776.04,716.94,745.79
2020-03-17,756.71,796.18,745.04,767.52
2020-03-18,738.62,758.16,694.77,714.74
2020-03-19,711.32,748.93,694.42,742.03
2020-03-20,750.18,772.31,719.23,721.98
2020-03-23,719.88,727.37,683.81,687.27
2020-03-24,728.86,773.22,722.87,772.42
2020-03-25,773.36,838.20,766.26,802.55
2020-03-26,802.48,829.69,801.00,816.23
2020-03-27,789.57,790.56,768.29,772.12
2020-03-30,779.44,799.27,766.11,798.60
2020-03-31,801.13,829.19,801.13,819.89
2020-04-01,794.04,805.00,784.15,787.95
2020-04-02,792.55,809.82,789.07,800.81
2020-04-03,801.03,805.73,785.21,792.20
2020-04-06,818.81,832.53,814.60,831.47
2020-04-07,852.58,858.53,828.12,830.58
2020-04-08,837.56,849.55,827.67,846.79
2020-04-09,854.38,869.09,850.48,859.44
2020-04-13,861.00,861.14,843.99,853.35
2020-04-14,863.49,873.53,855.02,864.47
2020-04-15,849.88,854.19,843.01,847.02
2020-04-16,850.66,853.13,841.26,842.76
2020-04-17,853.47,872.26,853.47,871.85
2020-04-20,857.45,880.86,853.75,871.98
2020-04-21,855.47,867.19,844.63,844.63
2020-04-22,861.44,866.92,854.42,865.91
2020-04-23,868.54,873.28,861.54,861.97
2020-04-24,867.16,873.95,862.33,873.14
2020-04-27,877.44,885.21,871.56,884.53
2020-04-28,892.09,897.91,886.30,894.17
2020-04-29,906.87,922.16,905.80,920.28
2020-04-30,912.56,912.56,891.63,891.63
2020-05-01,878.93,885.40,877.20,882.65
2020-05-04,880.17,893.10,877.58,893.10
2020-05-05,902.18,904.59,893.93,896.99
2020-05-06,899.36,903.19,893.55,898.73
2020-05-07,906.53,910.18,896.22,897.50
2020-05-08,905.17,906.97,901.33,905.55
2020-05-11,901.27,917.96,900.17,916.89
2020-05-12,920.57,922.18,904.10,904.10
2020-05-13,905.12,905.12,876.81,882.04
2020-05-14,872.68,884.02,862.56,881.22
2020-05-15,880.46,888.83,876.97,886.85
2020-05-19,902.24,904.28,895.01,899.03
2020-05-20,908.99,910.63,905.07,906.09
